mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
5.00826358795166,0.39233063172041466,0.17784385681152343,0.0166035696085004,,,sqrt,4,2,800,"{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 800}",0.9993333333333333,0.9986666666666666,0.978,0.9924137931034482,0.9593103448275861,0.9855448275862069,0.01519645187395417,173
1.0828810691833497,0.09916259221217148,0.0493896484375,0.021786195561127954,,,sqrt,4,5,200,"{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}",0.9993333333333333,0.9986666666666666,0.976,0.9924137931034482,0.9479310344827584,0.9828689655172413,0.019388595694829838,544
5.17263822555542,0.5242349482896834,0.13263516426086425,0.02521042227466523,,,sqrt,4,5,500,"{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 500}",0.9993333333333333,0.9986666666666666,0.9766666666666667,0.9924137931034482,0.9579310344827586,0.9850022988505746,0.015807339197963916,257
5.773900270462036,0.8636988998392633,0.13121395111083983,0.022530490835994548,,,sqrt,4,5,800,"{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 800}",0.9993333333333333,0.9986666666666666,0.978,0.9924137931034482,0.9593103448275861,0.9855448275862069,0.01519645187395417,173
1.5751349925994873,0.06459447400332315,0.04933886528015137,0.01705368221741543,,,sqrt,4,10,200,"{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",0.9993333333333333,0.998,0.976,0.9924137931034482,0.9482758620689653,0.9828045977011494,0.019157098544058535,560
2.6284762382507325,0.16513382300309398,0.07558255195617676,0.026502317880231274,,,sqrt,4,10,500,"{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 500}",0.9993333333333333,0.9986666666666666,0.976,0.9924137931034482,0.9579310344827586,0.9848689655172412,0.01587973295996,286
5.021280765533447,0.843795994832305,0.22589049339294434,0.09130468921136987,,,sqrt,4,10,800,"{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 800}",0.9993333333333333,0.9986666666666666,0.9766666666666667,0.9924137931034482,0.9593103448275861,0.9852781609195402,0.015337552022660803,217
1.921656322479248,0.41179550309309737,0.056267595291137694,0.044879379351509846,,,0.5,1,2,200,"{'class_weight': None, 'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9986666666666667,1.0,0.9766666666666667,0.9972413793103447,0.9486206896551724,0.98423908045977,0.019756684023761267,419
7.391360092163086,1.1629119886584844,0.10025644302368164,0.03666994852786746,,,0.5,1,2,500,"{'class_weight': None, 'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",0.9993333333333333,1.0,0.978,0.9979310344827587,0.950344827586207,0.9851218390804597,0.019222709738540098,249
6.795203447341919,1.6553101656343918,0.07742352485656738,0.008818596102397531,,,0.5,1,2,800,"{'class_weight': None, 'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 800}",0.9986666666666667,1.0,0.979,0.9979310344827585,0.9493103448275862,0.9849816091954023,0.019435736290603453,266
1.6166905403137206,0.3665980788055583,0.04643120765686035,0.01801613441936751,,,0.5,1,5,200,"{'class_weight': None, 'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.9986666666666667,1.0,0.9786666666666667,0.9972413793103447,0.950344827586207,0.984983908045977,0.018987995874148622,263
3.3031808376312255,0.5263238638622174,0.05247235298156738,0.003854361889684848,,,0.5,1,5,500,"{'class_weight': None, 'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500}",0.9993333333333333,1.0,0.9786666666666667,0.996551724137931,0.950344827586207,0.9849793103448278,0.018999877477683787,269
4.519859695434571,0.12990103720544946,0.08374199867248536,0.011995776419400177,,,0.5,1,5,800,"{'class_weight': None, 'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 800}",0.9993333333333333,1.0,0.9806666666666667,0.996551724137931,0.950344827586207,0.9853793103448275,0.018883464439145348,207
1.1767529010772706,0.09161551177371396,0.04240889549255371,0.03622618359846437,,,0.5,1,10,200,"{'class_weight': None, 'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",0.9986666666666667,1.0,0.977,0.9937931034482759,0.946896551724138,0.9832712643678161,0.019950070586898884,498
2.819886493682861,0.15377241230057498,0.04833040237426758,0.005041669122422588,,,0.5,1,10,500,"{'class_weight': None, 'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 500}",0.9993333333333333,1.0,0.9766666666666667,0.9944827586206897,0.9444827586206896,0.9829931034482758,0.021030075035956674,527
4.660499382019043,0.17941371366485362,0.08592867851257324,0.054668290728166556,,,0.5,1,10,800,"{'class_weight': None, 'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 800}",0.9993333333333333,1.0,0.9766666666666667,0.9958620689655172,0.9475862068965517,0.9838896551724137,0.02005742265251165,450
1.1024991035461427,0.06421667696596742,0.023102378845214842,0.0031664253478357746,,,0.5,2,2,200,"{'class_weight': None, 'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.9993333333333333,1.0,0.9686666666666668,0.9972413793103448,0.9500000000000001,0.983048275862069,0.02026340274528954,523
2.9476635456085205,0.4655203960933488,0.0696333408355713,0.011993038461510425,,,0.5,2,2,500,"{'class_weight': None, 'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",0.9993333333333333,1.0,0.9786666666666667,0.9972413793103447,0.9496551724137932,0.9849793103448276,0.01933732980411113,272
